#t_ns,in_ts
7683637075415,73413392675562
7683670365715,73413426031232
7683703656415,73413459258069
7683736943515,73413487875861
7683770234015,73413525695128
7683803524115,73413559574956
7683836816715,73413593130797
7683870102015,73413626463211
7683903390215,73413659561511
7683936688515,73413692719797
7683969969115,73413725551779
7684003258115,73413759884757
7684036554615,73413792376068
7684069838415,73413825664562
7684103126315,73413859171455
7684136423315,73413892291838
7684169707115,73413925675657
7684203003715,73413960279450
7684236284915,73413988230167
7684269573715,73414025928921
7684302863415,73414059287551
7684336152515,73414092724079
7684369441315,73414125266514
7684402732115,73414159291854
7684436023115,73414193786668
7684469309515,73414226040690
7684502600215,73414258912357
7684535890515,73414292285968
7684569178515,73414327046339
7684602468315,73414359570997
7684635756915,73414392325253
7684669080515,73414426021574
7684702334615,73414459363646
7684735624615,73414489767405
7684768921215,73414525726378
7684802204815,73414559143474
7684835493015,73414592252676
7684868789015,73414625683819
7684902075215,73414659940675
7684935361315,73414693037994
7684968655015,73414725944226
7685001953315,73414759177248
7685035229815,73414792834692
7685068519415,73414827460353
7685101807715,73414859744303
7685135098315,73414892617237
7685168391915,73414925779436
7685201675815,73414959195850
7685234966515,73414990251455
7685268256615,73415027453511
7685301544715,73415059532502
7685334835015,73415092508910
7685368123215,73415126606209
7685401419015,73415160216769
7685434703115,73415194328226
7685467990915,73415227806190
7685501287615,73415259195353
7685534588515,73415292913686
7685567859215,73415325765897
7685601155915,73415360681172
7685634449415,73415393202663
7685667727415,73415425580282
7685701021315,73415459101041
7685734307315,73415489771941
7685767596215,73415525568263
7685800886715,73415559341782
7685834174215,73415593132072
7685867464715,73415625784259
7685900753115,73415659057336
7685934054215,73415692344151
7685967333015,73415725734710
7686000658515,73415759257864
7686033910715,73415792061843
7686067200715,73415825478398
7686100490915,73415858941604
7686133786415,73415891462730
7686167069015,73415925816774
7686200357715,73415959677697
7686233655015,73415990450542
7686266936015,73416025784758
7686300225515,73416058900620
7686333522315,73416091919471
7686366805115,73416125888891
7686400094115,73416158936259
7686433387315,73416192990277
7686466673815,73416225623199
7686499963715,73416258628388
7686533252415,73416292551408
7686566540515,73416325824506
7686599832115,73416358800995
7686633119715,73416392466732
7686666408815,73416424949648
7686699702615,73416459308576
7686732988115,73416491324139
7686766276915,73416525326886
7686799567515,73416559931218
7686832859915,73416592734616
7686866174415,73416626666512
7686899435715,73416659636512
7686932724115,73416692944985
7686966028915,73416726404446
7686999302515,73416758827193
7687032592215,73416792508689
7687065888915,73416825588442
7687099171615,73416858948329
7687132460515,73416892753591
7687165753615,73416925433559
7687199041015,73416959211344
7687232328215,73416990648019
7687265618915,73417024516990
7687298907215,73417058506477
7687332228815,73417092219485
7687365485915,73417126904568
7687398775315,73417159888862
