#t_ns,out_ts
9904926719408,12442859597607
9904945226408,12442873511710
9904963734408,12442887247015
9904982240408,12442899433937
9905000747408,12442913426785
9905019255408,12442927041125
9905037765408,12442939841811
9905056268408,12442950392949
9905074774408,12442963077043
9905093282408,12442977601566
9905111789408,12442989854844
9905130295408,12443004342993
9905148804408,12443017915087
9905167310408,12443030282837
9905185817408,12443041627818
9905204325408,12443053352407
9905222833408,12443065991446
9905241340408,12443076951603
9905259846408,12443090653974
9905278352408,12443102654187
9905296860408,12443115185138
9905315365408,12443125044542
9905333873408,12443137601287
9905352380408,12443149302934
9905370889408,12443161639000
9905389394408,12443172301372
9905407901408,12443183965013
9905426406408,12443195918492
9905444915408,12443205745041
9905463430408,12443215524883
9905481931408,12443226767572
9905500452408,12443238101795
9905518944408,12443248952290
9905537450408,12443261135972
9905555957408,12443273282233
9905574465408,12443285572664
9905592972408,12443297336850
9905611482408,12443307354922
9905629984408,12443317743090
9905648491408,12443332324344
9905666999408,12443346446577
9905685506408,12443361087695
9905704013408,12443375035621
9905722522408,12443389085285
9905741026408,12443401206230
9905759534408,12443414391352
9905778041408,12443429650639
9905796548408,12443444089924
9905815054408,12443457377094
9905833561408,12443473296478
9905852070408,12443486547740
9905870577408,12443499861711
9905889083408,12443512839443
9905907591408,12443527912731
9905926100408,12443541525373
9905944604408,12443553985010
9905963112408,12443568005439
9905981617408,12443577871144
9906000125408,12443589627642
9906018632408,12443601176198
9906037138408,12443616368554
9906055646408,12443629629920
9906074155408,12443643196229
9906092661408,12443656027408
9906111166408,12443668739654
9906129672408,12443681884880
9906148181408,12443694375214
9906166687408,12443709160991
9906185194408,12443721128220
9906203702408,12443734650196
9906222208408,12443745654979
9906240716408,12443758683849
9906259224408,12443770867005
9906277732408,12443782966214
9906296236408,12443798327589
9906314743408,12443811985253
9906333251408,12443826010932
9906351757408,12443840384167
9906370265408,12443855203549
9906388772408,12443870985338
9906407280408,12443884256081
9906425787408,12443901544469
9906444293408,12443916924590
9906462800408,12443930222098
9906481306408,12443942730427
9906499813408,12443956277786
9906518319408,12443969388404
9906536829408,12443982862901
9906555333408,12443994622748
9906573843408,12444008179957
9906592348408,12444020214755
9906610857408,12444033502647
9906629364408,12444044082796
9906647869408,12444056766235
9906666376408,12444067756855
9906684884408,12444080342841
9906703392408,12444093784357
9906721897408,12444104629450
9906740405408,12444116008724
9906758913408,12444128676545
9906777418408,12444140118425
