#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
7466125134394,14842097966348,14842101030931,14842105683625,14842105695732,14842105757145,14842106442460,14842107206126,14842107227750,14842107925655,14842108115462,14842109806659,14842109812116,14842109812349,14842109908511,14842110169313,14842111003209,14842112518072,14842112851881,14842113317206,14842113827970,14842114166789,14842114181049,14842114198347
7466158422994,14842105690555,14842109142888,14842114204274,14842114216349,14842114280060,14842115117129,14842116024832,14842116035416,14842116901820,14842117110424,14842118869206,14842118874741,14842118875000,14842118952134,14842119189756,14842119678532,14842120970611,14842121254379,14842121688554,14842122127684,14842122410893,14842122423876,14842122438533
7466191713994,14842114210395,14842117264039,14842122448531,14842122456491,14842122528097,14842123453783,14842124357724,14842124378012,14842125202849,14842125439791,14842127207805,14842127213298,14842127213522,14842127291449,14842127522117,14842128299704,14842129660173,14842129949883,14842130419624,14842130916696,14842131208826,14842131220572,14842131235206
7466225003394,14842122453123,14842125512376,14842131239670,14842131248529,14842131313531,14842132357188,14842133175217,14842133180404,14842133936777,14842134133825,14842135918147,14842135923771,14842135923959,14842136061788,14842136301389,14842137003760,14842138285644,14842138565700,14842138964233,14842139389640,14842139655646,14842139666773,14842139679156
7466258291294,14842131245591,14842134354748,14842139683795,14842139692071,14842139755139,14842140511192,14842141358149,14842141370762,14842142157623,14842142451215,14842144189196,14842144196213,14842144196426,14842144274928,14842145275239,14842145774561,14842147049609,14842147326787,14842147730817,14842148159677,14842148437871,14842148590087,14842148605232
7466291581494,14842139689059,14842142744832,14842148620348,14842148632891,14842148692676,14842150153171,14842150906611,14842150920793,14842151744219,14842151966169,14842153714935,14842153720847,14842153721081,14842153846388,14842154092318,14842154852378,14842156172825,14842156457899,14842156974718,14842157444755,14842157740978,14842157755968,14842157769957
7466324869494,14842148627779,14842151684736,14842157776664,14842157788775,14842157857950,14842158413108,14842159235085,14842159259642,14842160368176,14842160641440,14842162239930,14842162246062,14842162246315,14842162319182,14842162533048,14842163239491,14842164692684,14842164985213,14842165368576,14842165817163,14842166059251,14842166071597,14842166085621
7466358195394,14842157783370,14842160776009,14842166090707,14842166102080,14842166165399,14842166749244,14842167487148,14842167507994,14842168483838,14842168755143,14842170421911,14842170428233,14842170428463,14842170509664,14842170738695,14842171598940,14842173251789,14842173579125,14842174096003,14842174607420,14842174931869,14842174942306,14842174957820
7466391448094,14842166096534,14842169386230,14842174964324,14842174974840,14842175047681,14842176201967,14842176899818,14842176931231,14842178248263,14842178465304,14842180078471,14842180085030,14842180085585,14842180214418,14842180465372,14842181325674,14842183037245,14842183348283,14842183844849,14842184394323,14842184717399,14842184729978,14842184742958
7466424737994,14842174971053,14842177964417,14842184747690,14842184755737,14842184819302,14842185562753,14842186388187,14842186397027,14842187379710,14842187632652,14842189153938,14842189161685,14842189161939,14842189314817,14842189980451,14842190801539,14842192413480,14842192730002,14842193188617,14842193658023,14842193989552,14842194010615,14842194049125
