#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
4529677072483,14600797285939,14600804347695,14600807752504,14600807760340,14600807856645,14600809151051,14600810602210,14600810655075,14600811440378,14600811686633,14600814551983,14600814565217,14600814565563,14600814669138,14600814945371,14600815473771,14600816587680,14600816845701,14600817341402,14600817802136,14600818238297,14600818269333,14600818286534
4529710360783,14600807756794,14600814946930,14600818292560,14600818303847,14600818397700,14600819155379,14600820644689,14600820689954,14600821447224,14600821737187,14600824510844,14600824523839,14600824524135,14600824613585,14600824902072,14600825322806,14600826514534,14600826687490,14600827090857,14600827582976,14600828014784,14600828042402,14600830875321
4529743649983,14600818299160,14600830871661,14600830878885,14600830894083,14600831022803,14600831753802,14600833287013,14600833332571,14600834182336,14600834402415,14600836786818,14600836801936,14600836802228,14600836911514,14600840069485,14600840518660,14600841946783,14600842340293,14600842899528,14600843534983,14600843856060,14600844042805,14600844059036
4529776937883,14600830882889,14600839665990,14600844074348,14600844085567,14600844183491,14600844912395,14600846661360,14600846705641,14600847434522,14600847828986,14600850895523,14600850909048,14600850909367,14600850991762,14600851234649,14600851545792,14600853054585,14600853374702,14600853889655,14600854411817,14600854696123,14600854723522,14600854736630
4529810233083,14600844082501,14600851422725,14600854742460,14600854750308,14600854844087,14600855714451,14600856908624,14600856963450,14600857704160,14600857962935,14600861235180,14600861247800,14600861248125,14600861322510,14600861531810,14600861701924,14600863019068,14600863240441,14600863659953,14600864119950,14600864648760,14600864674996,14600864690195
4529843517383,14600854748467,14600861708906,14600864695959,14600864705721,14600864798524,14600865606492,14600866879125,14600866922377,14600867643460,14600867909005,14600871186900,14600871200408,14600871200722,14600871273732,14600871504064,14600871872145,14600873125727,14600873342893,14600873928717,14600874451556,14600874907421,14600874940610,14600874958176
4529876804683,14600864702608,14600871865331,14600874966295,14600874976820,14600875088632,14600875825574,14600877057540,14600877115549,14600877905455,14600878276631,14600881635824,14600881651462,14600881651919,14600881737112,14600882700677,14600883307131,14600884596720,14600884842822,14600885405598,14600885936910,14600886485494,14600886512407,14600886529103
4529910099883,14600874974273,14600881911622,14600886535228,14600886546370,14600886651124,14600888823790,14600890097814,14600890132488,14600890898211,14600891198518,14600894771760,14600894785276,14600894786150,14600894923894,14600895173534,14600895669609,14600897003042,14600897339490,14600897959449,14600898605276,14600899111685,14600899139199,14600899152726
4529943383783,14600886542500,14600893476418,14600899158644,14600899168409,14600899276995,14600900020186,14600901382494,14600901455040,14600902186770,14600902652415,14600906201926,14600906216382,14600906216962,14600906307401,14600906546126,14600907002322,14600908380680,14600908627947,14600909061562,14600909598257,14600910048814,14600910082301,14600910098381
4529976671883,14600899164933,14600909855268,14600910105357,14600910117475,14600910227618,14600910999924,14600912190837,14600912270788,14600913051960,14600913468329,14600917248452,14600917265560,14600917265871,14600917356765,14600920155771,14600920606759,14600921747737,14600921952244,14600922476568,14600923082684,14600923483995,14600923678146,14600923690707
4530009964983,14600910185890,14600917699355,14600923703105,14600923714086,14600923812683,14600925220543,14600926539810,14600926608643,14600927416759,14600927737471,14600931483085,14600931499723,14600931500026,14600931589809,14600931819520,14600932049157,14600933141386,14600933392993,14600933867800,14600934412594,14600934878610,14600934912795,14600934923741
4530043257983,14600923708899,14600931625302,14600934934363,14600934942174,14600935047016,14600936065009,14600937410928,14600937507317,14600938756310,14600939185482,14600943845701,14600943858957,14600943859352,14600943945541,14600944226338,14600944858311,14600946078669,14600946310897,14600946781009,14600947382577,14600948030674,14600948063031,14600952929684
4530076538783,14600934939624,14600952925586,14600952933682,14600952947029,14600953046336,14600954155779,14600955800777,14600955884301,14600957179235,14600957577004,14600961943964,14600961957869,14600961958617,14600962060747,14600962350939,14600963085410,14600963861765,14600964027526,14600964349466,14600964738200,14600965231559,14600965265748,14600965418685
4530109828583,14600952937866,14600961884731,14600965471600,14600965487912,14600965584823,14600966880491,14600968421865,14600968482595,14600969292075,14600969646876,14600973079185,14600973093010,14600973093305,14600973194009,14600973473859,14600973982977,14600974635692,14600974782684,14600975083077,14600975464706,14600975900332,14600975933537,14600983510186
4530143117783,14600965483557,14600983505743,14600983513175,14600983527019,14600983603338,14600984693310,14600986433766,14600986497212,14600987546310,14600987886593,14600992078095,14600992094243,14600992094572,14600992168048,14600992424682,14600992652241,14600992991725,14600993076138,14600993382619,14600993806351,14600994321985,14600994344513,14600994459389
4530176406283,14600983517548,14600992096338,14600994466589,14600994484328,14600994595380,14600996746713,14600998497525,14600998558524,14600999407455,14600999779369,14601003318582,14601003340495,14601003340786,14601003409483,14601003610370,14601003722992,14601004679125,14601004847389,14601005140587,14601005469997,14601005775697,14601005794895,14601005801753
4530209698083,14600994478906,14601002958075,14601005805145,14601005811870,14601005878306,14601006988302,14601008580975,14601008638609,14601009516485,14601009836965,14601013949086,14601013975955,14601013976495,14601014066719,14601016046077,14601016510045,14601017788361,14601018022162,14601018476736,14601018838894,14601019132862,14601019243371,14601019249265
4530242985983,14601005809525,14601012736032,14601019255091,14601019260602,14601019322103,14601020185478,14601021727631,14601021773355,14601022850860,14601023352249,14601027495172,14601027508186,14601027509044,14601027593141,14601027792637,14601028149748,14601029644712,14601029871588,14601030491158,14601030923525,14601031276591,14601031300178,14601031307695
