#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
9981490109408,14471845901750,14471856298290,14471869852952,14471869984838,14471870045551,14471873781534,14471875525719,14471875836154,14471877541321,14471878081112,14471880004517,14471880024019,14471880024275,14471880128701,14471881223385,14471884234103,14471888770922,14471889478511,14471890418989,14471891623970,14471892224595,14471892611893,14471892619330
9981508617408,14471869861185,14471879630109,14471892625336,14471892638396,14471892702686,14471896618508,14471898335929,14471898758453,14471900427439,14471901004110,14471902998099,14471903015281,14471903015583,14471903154343,14471903635706,14471906576447,14471911079236,14471911760961,14471912769243,14471913906122,14471914528667,14471914601813,14471914733141
9981527123408,14471892628688,14471902498830,14471914743670,14471914757316,14471914787655,14471920721435,14471922127405,14471922657190,14471924410630,14471925051689,14471927076821,14471927092835,14471927093259,14471927183115,14471927607327,14471930701869,14471934840631,14471935515845,14471936392393,14471937581787,14471939006011,14471939090192,14471939191066
9981545631408,14471914757003,14471924678018,14471939198487,14471939214152,14471939279764,14471943171505,14471944501081,14471945012782,14471946737311,14471947254089,14471949332339,14471949348780,14471949349046,14471949518979,14471949973275,14471952609459,14471956393587,14471957032288,14471957888087,14471958909911,14471959517121,14471959562519,14471959581706
9981564143408,14471939207195,14471954655131,14471959593173,14471959607855,14471959672999,14471963702430,14471964945437,14471965466159,14471967201159,14471967727443,14471969860175,14471969874662,14471969874953,14471970029174,14471970488985,14471973394744,14471977078352,14471977744873,14471978531012,14471979606892,14471980206011,14471980263490,14471980282789
9981582646408,14471959604231,14471968906555,14471980293638,14471980466874,14471980546347,14471984327100,14471985536875,14471986099071,14471987962150,14471988482463,14471990685195,14471990702402,14471990702878,14471990714879,14471991132206,14471993701656,14471997478160,14471998162066,14471998985381,14471999991741,14472000566203,14472000623099,14472000642958
9981601154408,14471980303816,14471989227256,14472000652862,14472000816157,14472000888343,14472004884191,14472006192505,14472006702534,14472008562791,14472009074919,14472011047273,14472011066426,14472011066672,14472011161093,14472011602419,14472014080686,14472017385101,14472017924875,14472018668199,14472019785942,14472020383309,14472020429398,14472020447763
9981619662408,14472000662359,14472009648624,14472020457247,14472020472385,14472020534377,14472024528993,14472025648244,14472026120236,14472027933571,14472028472644,14472030811098,14472030827290,14472030827576,14472030939828,14472032048845,14472035443758,14472039835133,14472040647785,14472041661647,14472042986625,14472043814641,14472044335738,14472044348689
9981638166408,14472020465627,14472029500692,14472044361516,14472044377835,14472044450508,14472048541069,14472049795781,14472050264554,14472052187413,14472052721114,14472054760839,14472054783262,14472054783686,14472054889670,14472055341476,14472058424686,14472062630735,14472063387597,14472064175842,14472065278524,14472065960311,14472066033871,14472066053973
9981656674408,14472044368734,14472053796916,14472066064506,14472066284168,14472066361833,14472070398027,14472071630232,14472072081261,14472073945168,14472074392607,14472076638045,14472076655716,14472076655998,14472076752727,14472079683077,14472082637296,14472086727551,14472087466168,14472088250107,14472089361016,14472090702110,14472090809456,14472090828700
9981675180408,14472066074931,14472075455824,14472090838243,14472090970356,14472091064921,14472095013854,14472096189227,14472096550760,14472098663804,14472099146434,14472101363527,14472101384802,14472101385094,14472101397793,14472101791899,14472104541073,14472108321677,14472109006206,14472109745773,14472110762151,14472111318980,14472111356743,14472111374243
9981693687408,14472090846619,14472100544320,14472111386126,14472111395696,14472111422980,14472115509613,14472116568377,14472116955647,14472118989533,14472119495603,14472121750440,14472121769135,14472121769392,14472121903344,14472122266844,14472124890798,14472128846448,14472129434485,14472130202824,14472131221941,14472131914626,14472131974548,14472131989213
9981712194408,14472111397054,14472123550163,14472131995787,14472132237876,14472132315816,14472136218877,14472137420848,14472137799998,14472139736784,14472140343513,14472142596707,14472142613955,14472142614338,14472142718820,14472143130324,14472145530793,14472149333619,14472149871959,14472150585260,14472151568095,14472152138959,14472152186486,14472152314282
9981730703408,14472132008714,14472141938598,14472152321343,14472152332819,14472152362736,14472156083172,14472157257814,14472157576290,14472159528103,14472160112115,14472162358409,14472162380167,14472162380454,14472162458444,14472162837894,14472165349205,14472169390477,14472170006221,14472170771692,14472171757851,14472172282357,14472172329498,14472172733416
9981749211408,14472152332370,14472172728446,14472172737854,14472172752683,14472172818664,14472176853909,14472178146873,14472178545577,14472180477681,14472181091027,14472183397283,14472183420055,14472183420368,14472183534101,14472184474857,14472186990252,14472191119657,14472191728453,14472192570652,14472193620149,14472194165412,14472194516730,14472194530426
9981767716408,14472172742670,14472182314831,14472194596997,14472194609679,14472194676232,14472198651729,14472199916402,14472200322253,14472202167159,14472202751198,14472205129068,14472205144173,14472205144470,14472205302089,14472205655371,14472208088284,14472212140965,14472212786591,14472213527067,14472214557424,14472215130172,14472215174701,14472215184412
