#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,map_stamp_saved,lc_keyframe_indexed,lc_candidates_retrieved,lc_cumulative_initial_matching_ended,lc_cumulative_island_response_received,lc_cumulative_island_matching_ended,lc_cumulative_reprojection_ended,lc_cumulative_pose_estimation_ended,lc_candidates_validated,lc_loop_detection_finished,lc_loop_decision_received,lc_pgo_problem_built,lc_pgo_problem_solved,lc_pgo_poses_applied,lc_loop_closing_finished,backend_state_pushed,consumer_state_received
6799155287321,1526040795344894,1526040804610336,1526040804613701,1526040804626565,1526040804684116,1526040805747908,1526040806865939,1526040806870463,1526040807292790,1526040807537613,1526040810447663,1526040810464074,1526040810464439,1526040810477998,1526040811044465,1526040811716166,1526040813058632,1526040813217873,1526040813395032,1526040813739680,1526040813969474,1526040814302211,1526040817160421,1526040817166203,1526040817166203,1526040817166203,1526040817166203,1526040817166203,1526040817166203,1526040817166203,1526040817167025,1526040817167025,1526040817167025,1526040817167025,1526040817167025,1526040817171735,1526040817199230,1526040817204791
6799388310521,1526040864984804,1526040874387783,1526040874392050,1526040874402385,1526040874462065,1526040875335395,1526040876445919,1526040876452181,1526040877122282,1526040877332301,1526040881082692,1526040881108425,1526040881108741,1526040881122710,1526040881652337,1526040882409667,1526040883775521,1526040883941000,1526040884137094,1526040884503228,1526040884781262,1526040885306244,1526040888156066,1526040888162621,1526040888162621,1526040888162621,1526040888162621,1526040888162621,1526040888162621,1526040888162621,1526040888163338,1526040888163338,1526040888163338,1526040888163338,1526040888163338,1526040888180320,1526040888230397,1526040888246335
6799621332321,1526040940520575,1526040949813639,1526040950820786,1526040950823939,1526040950862016,1526040951651636,1526040952787798,1526040952793144,1526040953424281,1526040953695740,1526040957084381,1526040957104439,1526040957104780,1526040957175092,1526040958195179,1526040959235232,1526040960774692,1526040960973230,1526040961186819,1526040961665111,1526040961991088,1526040962345033,1526040965107267,1526040965113922,1526040965113922,1526040965113922,1526040965113922,1526040965113922,1526040965113922,1526040965113922,1526040965114586,1526040965114586,1526040965114586,1526040965114586,1526040965114586,1526040965118908,1526040965147603,1526040965166670
6799854355521,1526041012658616,1526041022099490,1526041022123571,1526041022127464,1526041022164602,1526041022954668,1526041024049145,1526041024053258,1526041024568889,1526041024841958,1526041027468171,1526041027483137,1526041027483430,1526041027499446,1526041028720816,1526041029818600,1526041031107700,1526041031273349,1526041031439523,1526041031976085,1526041032419329,1526041032910618,1526041035688707,1526041035694756,1526041035694756,1526041035694756,1526041035694756,1526041035694756,1526041035694756,1526041035694756,1526041035695615,1526041035695615,1526041035695615,1526041035695615,1526041035695615,1526041035720315,1526041035788314,1526041035802896
6800087386121,1526041084754758,1526041094120432,1526041094123872,1526041094127251,1526041094163782,1526041095193592,1526041096257618,1526041096262581,1526041096675445,1526041096916861,1526041099501226,1526041099516821,1526041099517094,1526041099530760,1526041100139638,1526041101026773,1526041102242627,1526041102402301,1526041102569833,1526041103062320,1526041103564042,1526041104045198,1526041106662378,1526041106668199,1526041106668199,1526041106668199,1526041106668199,1526041106668199,1526041106668199,1526041106668199,1526041106668890,1526041106668890,1526041106668890,1526041106668890,1526041106668890,1526041106690669,1526041106755875,1526041106762104
6800320402721,1526041156228376,1526041165945284,1526041165948725,1526041165959778,1526041166019578,1526041166863711,1526041167902632,1526041167907333,1526041168292852,1526041168522946,1526041171045704,1526041171061849,1526041171062147,1526041171066160,1526041171558089,1526041172244981,1526041173625279,1526041173801826,1526041174000343,1526041174393486,1526041174641886,1526041174996377,1526041177616874,1526041177623096,1526041177623096,1526041177623096,1526041177623096,1526041177623096,1526041177623096,1526041177623096,1526041177623902,1526041177623902,1526041177623902,1526041177623902,1526041177623902,1526041177639806,1526041177687604,1526041177709369
6800553426621,1526041225736151,1526041235983442,1526041235987289,1526041235998231,1526041236064461,1526041237148822,1526041238197497,1526041238202279,1526041238606978,1526041238880410,1526041241588584,1526041241604870,1526041241605170,1526041241623790,1526041242560992,1526041243401589,1526041244405824,1526041244537953,1526041244664053,1526041245151455,1526041245631351,1526041246101908,1526041248841097,1526041248848024,1526041248848024,1526041248848024,1526041248848024,1526041248848024,1526041248848024,1526041248848024,1526041248848804,1526041248848804,1526041248848804,1526041248848804,1526041248848804,1526041248870523,1526041248934459,1526041248949039
6800786448221,1526041297303640,1526041307719069,1526041307727537,1526041307739588,1526041307799078,1526041309010297,1526041310210764,1526041310216262,1526041310675312,1526041310940797,1526041313844805,1526041313868032,1526041313868474,1526041313885938,1526041314621549,1526041315271353,1526041316138276,1526041316251304,1526041316374789,1526041316856611,1526041317363610,1526041317937678,1526041320847189,1526041320856063,1526041320856063,1526041320856063,1526041320856063,1526041320856063,1526041320856063,1526041320856063,1526041320856811,1526041320856811,1526041320856811,1526041320856811,1526041320856811,1526041320885208,1526041320961501,1526041320969224
6801019471421,1526041368758568,1526041378943836,1526041378950241,1526041378964367,1526041379037363,1526041380155734,1526041381172692,1526041381177694,1526041381637106,1526041381906119,1526041385228713,1526041385244441,1526041385244695,1526041385257879,1526041385814002,1526041386609692,1526041387630067,1526041387769380,1526041387912939,1526041388372166,1526041388923911,1526041389427934,1526041392132850,1526041392139675,1526041392139675,1526041392139675,1526041392139675,1526041392139675,1526041392139675,1526041392139675,1526041392140351,1526041392140351,1526041392140351,1526041392140351,1526041392140351,1526041392163620,1526041392228933,1526041392246862
6801252495421,1526041439609982,1526041448810655,1526041448814374,1526041448824516,1526041448885268,1526041449743846,1526041450834342,1526041450838933,1526041451239318,1526041451494443,1526041454780055,1526041454796251,1526041454796606,1526041454814730,1526041455883145,1526041456811522,1526041457888138,1526041458024876,1526041458186783,1526041458691984,1526041459138885,1526041459808536,1526041462559029,1526041462565341,1526041462565341,1526041462565341,1526041462565341,1526041462565341,1526041462565341,1526041462565341,1526041462566192,1526041462566192,1526041462566192,1526041462566192,1526041462566192,1526041462582506,1526041462634897,1526041462652981
