#t_ns,out_ts
9944439138408,18042400672989
9944457646408,18042415904000
9944476154408,18042432594169
9944494662408,18042449140642
9944513166408,18042463530260
9944531675408,18042480066552
9944550179408,18042496762962
9944568688408,18042512378304
9944587195408,18042527284056
9944605702408,18042544771057
9944624208408,18042560887589
9944642715408,18042574306187
9944661222408,18042590400719
9944679732408,18042603210415
9944698239408,18042615570049
9944716744408,18042627510108
9944735250408,18042643981188
9944753758408,18042655634114
9944772266408,18042668073130
9944790772408,18042682679117
9944809279408,18042695987332
9944827788408,18042711889800
9944846322408,18042723335192
9944864801408,18042738213259
9944883306408,18042751579887
9944901813408,18042763904950
9944920321408,18042775956262
9944938827408,18042790906486
9944957338408,18042802924326
9944975842408,18042814936569
9944994348408,18042828264490
9945012857408,18042844831785
9945031365408,18042856538880
9945049872408,18042868398518
9945068376408,18042884807055
9945086884408,18042896081574
9945105390408,18042907373969
9945123898408,18042919979458
9945142404408,18042935879714
9945160911408,18042947802933
9945179420408,18042959363784
9945197926408,18042971218859
9945216433408,18042982130337
9945234938408,18042993091407
9945253446408,18043009921828
9945271952408,18043022776769
9945290461408,18043033923793
9945308967408,18043045726853
9945327474408,18043057507145
9945345981408,18043069517588
9945364489408,18043081333427
9945382996408,18043094050077
9945401505408,18043106483466
9945420008408,18043118653043
9945438516408,18043130888867
9945457023408,18043142373552
9945475530408,18043159220782
9945494037408,18043171116615
9945512545408,18043187755027
9945531053408,18043202624087
9945549559408,18043216881355
9945568065408,18043232505557
9945586571408,18043244133724
9945605078408,18043254666054
9945623586408,18043264724060
9945642093408,18043277101031
9945660599408,18043288403475
9945679107408,18043300016387
9945697614408,18043311288424
9945716122408,18043324656376
9945734630408,18043336827101
9945753134408,18043348785685
9945771643408,18043362260804
9945790148408,18043373988662
9945808656408,18043384954120
9945827163408,18043395935942
9945845670408,18043409664342
9945864179408,18043425348102
9945882686408,18043436349519
9945901190408,18043448195743
9945919697408,18043462173912
9945938204408,18043477788463
9945956711408,18043488814210
