#t_ns,out_ts
7683004577515,11069553597814
7683037867115,11069570152315
7683071157215,11069586378690
7683104447515,11069608767101
7683137735415,11069631845935
7683171023815,11069645031554
7683204320515,11069667318932
7683237603015,11069688183195
7683270892315,11069708333003
7683304188215,11069728436225
7683337508815,11069748534986
7683370759915,11069769406109
7683404056715,11069790589300
7683437340315,11069813391493
7683470629415,11069836049610
7683503918715,11069858490701
7683537206815,11069876588219
7683570498315,11069894887580
7683603785515,11069913819172
7683637075415,11069936902671
7683670365715,11069962713552
7683703656415,11069981314129
7683736943515,11070003685894
7683770234015,11070029827442
7683803524115,11070054799276
7683836816715,11070076110031
7683870102015,11070100385969
7683903390215,11070128324472
7683936688515,11070152023976
7683969969115,11070177303225
7684003258115,11070201756177
7684036554615,11070227330478
7684069838415,11070252035367
7684103126315,11070274853351
7684136423315,11070299241328
7684169707115,11070327554195
7684203003715,11070352207743
7684236284915,11070377393773
7684269573715,11070400296784
7684302863415,11070427133779
7684336152515,11070451447543
7684369441315,11070474776555
7684402732115,11070502809516
7684436023115,11070525745618
7684469309515,11070547357974
7684502600215,11070568702241
7684535890515,11070591254326
7684569178515,11070615448785
7684602468315,11070639459545
7684635756915,11070666932321
7684669080515,11070690391454
7684702334615,11070712464456
7684735624615,11070740466405
7684768921215,11070766908302
7684802204815,11070791313656
7684835493015,11070817143113
7684868789015,11070842663005
7684902075215,11070864951979
7684935361315,11070891270942
7684968655015,11070913898690
7685001953315,11070933895879
7685035229815,11070957114107
7685068519415,11070981316787
7685101807715,11071005239587
7685135098315,11071029091436
7685168391915,11071051333634
7685201675815,11071075418599
7685234966515,11071097390749
7685268256615,11071118716773
7685301544715,11071140213113
7685334835015,11071162193919
7685368123215,11071184258212
7685401419015,11071206043673
7685434703115,11071226704489
7685467990915,11071247576587
7685501287615,11071268517452
7685534588515,11071290515505
7685567859215,11071314326825
7685601155915,11071340024602
7685634449415,11071369220201
7685667727415,11071394943622
7685701021315,11071416180121
7685734307315,11071439883279
7685767596215,11071461471101
7685800886715,11071488122044
7685834174215,11071513758616
7685867464715,11071533264913
7685900753115,11071558290954
7685934054215,11071573263692
7685967333015,11071595478635
7686000658515,11071619313870
7686033910715,11071642197390
7686067200715,11071667071211
7686100490915,11071694953642
7686133786415,11071716187607
7686167069015,11071734487128
7686200357715,11071761486765
7686233655015,11071788743241
7686266936015,11071810473540
7686300225515,11071830195701
7686333522315,11071850483816
7686366805115,11071876288714
7686400094115,11071900644196
7686433387315,11071923536069
7686466673815,11071948230616
7686499963715,11071972386843
7686533252415,11071994322735
7686566540515,11072013230074
7686599832115,11072037198144
7686633119715,11072059166309
7686666408815,11072081026827
7686699702615,11072104951701
7686732988115,11072129989916
7686766276915,11072151202178
7686799567515,11072171369709
7686832859915,11072192295364
7686866174415,11072212569766
7686899435715,11072232829320
7686932724115,11072252699549
7686966028915,11072272710411
7686999302515,11072293054207
7687032592215,11072318934178
