#t_ns,in_ts
7695255069915,11232479350663
7695288359415,11232491913871
7695321648115,11232501507487
7695354938715,11232510146903
7695388226515,11232527428352
7695421517115,11232542276087
7695454806215,11232557691929
7695488094815,11232575299310
7695521384915,11232590709005
7695554674515,11232608872521
7695587962415,11232627188481
7695621252515,11232644930736
7695654573915,11232665452717
7695687831815,11232686300682
7695721120915,11232705929839
7695754415315,11232725341125
7695787699915,11232744646771
7695820988515,11232763939353
7695854283715,11232779525895
7695887568515,11232799407880
7695920887115,11232814868297
7695954152115,11232828234301
7695987436815,11232843837865
7696020725915,11232862489235
7696054015415,11232880741291
7696087304415,11232898881950
7696120593115,11232918054984
7696153883715,11232937173047
7696187174515,11232956372419
7696220461315,11232978756238
7696253751715,11233000958269
7696287040315,11233016705178
7696320329215,11233039435416
7696353619715,11233060754832
7696386913015,11233080521478
7696420199015,11233096983988
7696453487415,11233119307112
7696486781815,11233140737073
7696520067415,11233159694114
7696553354615,11233177926760
7696586650115,11233195878730
7696619934515,11233213844883
7696653223915,11233234045665
7696686518715,11233254103349
7696719803015,11233271901800
7696753092315,11233289039936
7696786381015,11233306257025
7696819670915,11233326096944
7696852959415,11233344540065
7696886249515,11233361243696
7696919538315,11233379556191
7696952846215,11233399800745
7696986118215,11233419794318
7697019408215,11233440531264
7697052695715,11233460923579
7697085985915,11233481785115
7697119280615,11233505386921
7697152563915,11233527162320
7697185854415,11233550665163
7697219177515,11233573820932
7697252470415,11233598430224
7697285721715,11233625093893
7697319016615,11233647623021
7697352300615,11233671446874
7697385590315,11233696375174
7697418885115,11233724203004
7697452168415,11233748849246
7697485459115,11233772080778
7697518747215,11233797944782
7697552037615,11233821877511
7697585325715,11233837947766
7697618615715,11233856455431
7697651904815,11233876786536
7697685193815,11233903195366
7697718484115,11233925286121
7697751774215,11233944328356
7697785062015,11233962296996
7697818352415,11233982059559
7697851646415,11233999837643
7697884930315,11234019461818
7697918220915,11234039544721
7697951543715,11234060589752
7697984798915,11234077968435
7698018088315,11234099726102
7698051383315,11234118667878
7698084669215,11234139862798
7698117964915,11234169388927
7698151251015,11234193915024
7698184535315,11234211862064
7698217824015,11234233133999
7698251113615,11234261786133
7698284405015,11234287325815
7698317693515,11234310404248
7698350982015,11234330632862
7698384272115,11234351188174
7698417560015,11234369186815
7698450850615,11234390842346
7698484138715,11234410702486
7698517428315,11234430519841
7698550718915,11234454572880
7698584044015,11234475154479
7698617296515,11234495559794
7698650587015,11234520683561
7698683910615,11234545431266
7698717165815,11234568766636
7698750454415,11234593122388
7698783749215,11234613080676
7698817034715,11234630645386
7698850325415,11234650704531
7698883617615,11234674229747
7698916901315,11234701020174
7698950192215,11234724763632
7698983479515,11234746482866
7699016770415,11234765672173
7699050060515,11234783884396
7699083349715,11234806888106
7699116638015,11234827827030
7699149926415,11234847050848
7699183217815,11234867572779
7699216505615,11234887028590
7699249794815,11234906153139
7699283085115,11234926006826
7699316377215,11234941454433
7699349662715,11234955262010
7699382953415,11234968862397
7699416249215,11234977391400
7699449550615,11234984301511
7699482820615,11234991236835
7699516115115,11235005405198
7699549411315,11235022950041
7699582688615,11235034398585
7699615991415,11235046133853
7699649267815,11235059444769
7699682557715,11235072171966
7699715846515,11235085756568
7699749136315,11235100137008
7699782426715,11235117867974
7699815713515,11235136099971
7699849004415,11235153397958
7699882293115,11235171453989
7699915640115,11235187818716
7699948871615,11235202710615
7699982160815,11235221599528
7700015451415,11235242447485
7700048744415,11235260748953
7700082029215,11235280241650
7700115319815,11235299398217
7700148616515,11235318556801
7700181897215,11235337339850
7700215187815,11235356443746
7700248482015,11235375549477
7700281766415,11235395196693
7700315055315,11235416485245
