#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
9922027181408,18026678247894,18026686766941,18026691252973,18026691262882,18026691323015,18026693095664,18026693891258,18026693893741,18026695801062,18026696268675,18026699918122,18026699923444,18026699923510,18026700011665,18026700140081,18026700412389,18026700854389,18026700930140,18026701019034,18026701346326,18026701647058,18026701678011,18026701765161
9922045690408,18026691257421,18026699694575,18026701768657,18026701778292,18026701829547,18026704872184,18026705763149,18026705766048,18026707734920,18026708190604,18026711714331,18026711724293,18026711724837,18026711807560,18026712031314,18026712891322,18026714030161,18026714268608,18026714564312,18026715102730,18026715567405,18026715594214,18026715681116
9922064193408,18026701804073,18026710462677,18026715685914,18026715696855,18026715751831,18026717515803,18026718302566,18026718304814,18026720277457,18026720724750,18026724244029,18026724250556,18026724250630,18026724320590,18026724474711,18026724699242,18026725152508,18026725245224,18026725410064,18026725758845,18026726170409,18026726198096,18026726275180
9922082699408,18026715691335,18026724117292,18026726278417,18026726290430,18026726342190,18026729411073,18026730189316,18026730191665,18026732155033,18026732557166,18026736093697,18026736101682,18026736101943,18026736196866,18026736343197,18026736645796,18026737153156,18026737256287,18026737367994,18026737688941,18026737955634,18026737976906,18026737991957
9922101207408,18026726283001,18026734699593,18026737998825,18026738023754,18026738085699,18026740979860,18026741756014,18026741757998,18026743732089,18026744140370,18026747589544,18026747595883,18026747595941,18026747679370,18026747836353,18026748483591,18026749482091,18026749693972,18026749931036,18026750310455,18026750591529,18026750606141,18026750619662
9922119714408,18026738019069,18026746459355,18026750626125,18026750634947,18026750700826,18026753126990,18026753937572,18026753939926,18026755832854,18026756218886,18026759550845,18026759557403,18026759557526,18026759647032,18026759794953,18026760071278,18026760493848,18026760592614,18026760695631,18026760997098,18026761233266,18026761246884,18026761330079
9922138220408,18026750632131,18026759026246,18026761333024,18026761344013,18026761403657,18026763301827,18026764072423,18026764074555,18026765972125,18026766359174,18026769706783,18026769712260,18026769712314,18026769790542,18026770585095,18026771178596,18026772205607,18026772427669,18026772728009,18026773144551,18026773496624,18026773522678,18026773610702
9922156727408,18026761337550,18026769796046,18026773613803,18026773624225,18026773677640,18026775813031,18026776714363,18026776716502,18026778672555,18026779090011,18026782347996,18026782354323,18026782354636,18026782427930,18026782598608,18026782869157,18026783282871,18026783368954,18026783493135,18026783789453,18026784039246,18026784052147,18026784166943
9922175237408,18026773618178,18026782061633,18026784169957,18026784180473,18026784229863,18026787144111,18026787974146,18026787976765,18026789799955,18026790174213,18026793348145,18026793355572,18026793355666,18026793499919,18026793660578,18026793923919,18026794381932,18026794457261,18026794549016,18026794898221,18026795169859,18026795192450,18026795279807
9922193741408,18026784174750,18026792652610,18026795343257,18026795353316,18026795405101,18026798418803,18026799236370,18026799238987,18026801047180,18026801441698,18026804701106,18026804709905,18026804709967,18026804796433,18026804965743,18026805325752,18026805834943,18026805926765,18026806044103,18026806345502,18026806627588,18026806643161,18026806724971
9922212248408,18026795348488,18026803818785,18026806727498,18026806738115,18026806791258,18026809866895,18026810595008,18026810597338,18026812468376,18026812855899,18026816174754,18026816181197,18026816181546,18026816267229,18026816417495,18026816764319,18026817244170,18026817314322,18026817453801,18026817758264,18026818016534,18026818031603,18026818204865
9922230755408,18026806732223,18026815219212,18026818207512,18026818220259,18026818284244,18026821309650,18026822089453,18026822091844,18026823954592,18026824360897,18026827742846,18026827749160,18026827749554,18026827907552,18026828083789,18026828307909,18026828611723,18026828654020,18026828727704,18026829011030,18026829254001,18026829269392,18026829348052
9922249262408,18026818214683,18026826764436,18026829350549,18026829360285,18026829418855,18026831188102,18026831930294,18026831932796,18026833733695,18026834581434,18026838014333,18026838023295,18026838023587,18026838072747,18026838189333,18026838363267,18026839424702,18026839614252,18026839796846,18026840132236,18026840422800,18026840438442,18026840555738
