#frames_original_timestamp,frames_read_started,frames_read,frames_pushed,frontend_frames_received,frontend_preintegration_computed,frontend_pyramid_created,frontend_tracking_ended,frontend_recall_ended,frontend_detection_cam0_ended,frontend_matching_ended,frontend_detection_cami_ended,frontend_filter_ended,frontend_keypoints_pushed,backend_keypoints_received,backend_observations_processed,backend_cumulative_linearization_ended,backend_cumulative_solver_ended,backend_cumulative_backsubstitution_ended,backend_cumulative_error_computed,backend_optimization_ended,backend_marginalization_ended,backend_state_pushed,consumer_state_received
7559335401194,17959563853000,17959567120010,17959574800042,17959574811269,17959574840001,17959576022459,17959577298193,17959577300330,17959577834445,17959578036408,17959579018660,17959579026206,17959579026256,17959579116375,17959579262921,17959579856528,17959580622344,17959580772079,17959581052177,17959581451747,17959581673515,17959581694086,17959581701024
7559368690094,17959574809167,17959578182868,17959581703071,17959581711235,17959581737950,17959583079721,17959584417774,17959584420653,17959584950198,17959585146005,17959586151449,17959586158942,17959586158987,17959586323371,17959586449864,17959587245155,17959589253341,17959589590671,17959590282536,17959590831751,17959591069829,17959591090034,17959591228154
7559401980294,17959581710200,17959585009241,17959591233720,17959591242090,17959591271888,17959592055981,17959593248548,17959593251522,17959593750121,17959593933637,17959594895318,17959594902940,17959594902987,17959594985085,17959595133751,17959595498534,17959595979154,17959596079867,17959596279917,17959596655169,17959596863890,17959596883957,17959596995695
7559435285794,17959591241744,17959594583252,17959597013471,17959597127682,17959597192269,17959597578540,17959598746761,17959598749100,17959599273152,17959599473544,17959600457501,17959600465460,17959600465510,17959600608882,17959600736341,17959601208455,17959601698837,17959601803159,17959602068718,17959602479952,17959602710320,17959602727853,17959602819912
7559468571894,17959597021887,17959600328310,17959602826137,17959602977703,17959603040155,17959603781245,17959604933379,17959604935970,17959605425936,17959605638201,17959606616820,17959606625033,17959606625086,17959606751019,17959607048757,17959608724220,17959610901116,17959611302117,17959612075397,17959612615117,17959612878619,17959612904552,17959612908915
7559501848694,17959602835455,17959606206277,17959612910841,17959612922375,17959612987101,17959613741280,17959615163038,17959615165964,17959615678814,17959615892848,17959616930978,17959616939141,17959616939187,17959617042070,17959617206580,17959617718639,17959618247190,17959618351802,17959618627366,17959619044566,17959619294600,17959619321154,17959619474472
7559535138094,17959612914041,17959616207487,17959619480732,17959619629772,17959619691483,17959620886074,17959621992486,17959621994966,17959622475783,17959622667557,17959623550032,17959623558303,17959623558349,17959623700347,17959623832427,17959625112690,17959627319475,17959627684517,17959628438984,17959629005793,17959629436180,17959629464666,17959629563799
7559568426794,17959619490043,17959622773941,17959629569277,17959629578993,17959629608600,17959630725418,17959631988548,17959631990929,17959632462539,17959632624039,17959633569575,17959633578114,17959633578167,17959633698272,17959633853950,17959634755035,17959636515218,17959636828107,17959637458256,17959637970591,17959638225167,17959638247137,17959638251656
7559601716994,17959629577528,17959632975008,17959638252924,17959638256203,17959638283432,17959639387118,17959640445913,17959640448235,17959640938216,17959641124379,17959641954369,17959641962156,17959641962226,17959642047331,17959642182157,17959642811004,17959643555720,17959643718932,17959644022226,17959644447449,17959644696410,17959644722522,17959644823098
7559635006094,17959638254738,17959641502334,17959644829300,17959644939758,17959645017892,17959645375219,17959646459133,17959646461518,17959646903237,17959647088838,17959647857773,17959647866694,17959647866750,17959647878608,17959648018755,17959649485403,17959651473168,17959651842532,17959652541455,17959653046114,17959653309504,17959653331857,17959653438171
7559668298994,17959644837472,17959648147647,17959653444607,17959653596022,17959653661687,17959654821569,17959656023759,17959656026479,17959656509751,17959656713705,17959657545292,17959657553923,17959657553970,17959657669990,17959657801042,17959658531980,17959659572979,17959659778715,17959660108640,17959660542239,17959660781260,17959660801987,17959660811678
7559701584794,17959653454073,17959656767205,17959660816232,17959660820656,17959660850113,17959661908817,17959663235687,17959663238204,17959663669031,17959663873923,17959664630403,17959664639343,17959664639388,17959664734198,17959665049198,17959666823308,17959669244655,17959669706906,17959670596728,17959671193666,17959671503064,17959671533119,17959671537494
7559734873294,17959660819626,17959664104184,17959671539713,17959671683149,17959671747347,17959672392158,17959673656007,17959673658685,17959674116538,17959674302821,17959675038433,17959675046741,17959675046787,17959675052804,17959675156275,17959676982720,17959679287790,17959679726660,17959680528965,17959681136178,17959681422508,17959681451217,17959681454717
